"y"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"subject"	"item"
0.406715373852072	0.775114277055569	0.96118946467108	0.340999768555942	1	0.0715939678051046	0.159910351892385	"s6"	"ossen"
0.407526724276933	0.643925295944639	0.965090037410551	0.600789211019298	1	0.097752455914989	0.119498015141987	"s6"	"taarten"
0.535257617318229	0.384121429551615	0.968528724624753	0.686965813604618	-1	0.0317948439747108	0.0721065463089943	"s6"	"katern"
0.523945146834837	0.531421005936784	0.417296016845236	0.735229502443356	1	0.157992573395684	0.293881968142459	"s6"	"contacten"
0.531288589152302	0.657966463464669	0.597590339148166	0.578314734827101	1	0.0691374444247199	0.185367113418281	"s6"	"bananen"
0.53261443356612	0.630111354663721	0.620521405005059	0.850732657939968	-1	0.0638166177134002	0.144727739632713	"s6"	"rantsoen"
0.585269153690093	0.469906181908209	0.69777683101298	0.724892907150952	-1	0.0813330394846123	0.184452692477847	"s6"	"madelief"
0.629838839242221	0.545713755796711	0.711177074469395	0.831174765662581	-1	0.378887610551495	0.859267529599005	"s6"	"vaart"
0.579771747833955	0.511373139213041	0.858289705126052	0.604197062932118	1	0.096564373593375	0.167376178317461	"s6"	"lanen"
0.584660740780521	0.653142663913142	0.863836060128646	0.683860750565205	1	0.102578612351157	0.14404035572745	"s6"	"vorken"
0.50967875328383	0.62053535292286	0.873790196946727	0.748345634055639	1	0.0999517068660072	0.167376178317461	"s6"	"violen"
0.560452835539548	0.655827275529578	0.875076209208248	0.644106068439735	-1	0.0751017077909708	0.17032084746261	"s6"	"ivoor"
0.434497207589934	0.583671730563543	0.917600187259884	0.0361105537661154	-1	0.150084988077913	0.340373116840348	"s6"	"pin"
0.527293898988119	0.578826577092209	0.922571630419345	0.937893341173223	-1	0.107584930425295	0.243988546508729	"s6"	"exemplaar"
0.393586736247707	0.494844913207835	0.9264508868516	0.658622895693873	-1	0.157771892996227	0.357806011491637	"s6"	"lunch"
0.640496408931148	0.929102437840123	0.92883305571281	0.711424355735319	1	0.0705112773890443	0.188299402848293	"s6"	"flanken"
0.609711871910964	0.642831656183272	0.929305676273121	0.379022065583798	1	0.10700224783375	0.193178414662123	"s6"	"rangen"
0.56297980535965	0.75360352255046	0.938054294231012	0.60928452977753	1	0.0953800588105931	0.272760428067165	"s6"	"doornen"
0.467002880991562	0.484281876125025	0.399534313994665	0.688514297381865	-1	0.345700560964845	0.784003643109045	"s6"	"blaas"
0.573605596257308	0.656897810213499	0.47457826072556	0.825886013113779	1	0.0402694569619788	0.206074135687988	"s6"	"sandalen"
