"score" "frequency" "penalty" "score_prev" "duration" "trial" "item" "subject"
"335" 7.0335064842877 0.881835308997191 0 -0.396507301940773 -0.217963186972847 -11.0235728195142 "mammoet" "s1"
"343" 6.85751406254539 1.04854896812515 1 0.0598996993389873 0.0260579493629134 13.9764271804858 "matrassen" "s1"
"346" 7.12447826249342 -1.83064948917289 0 -0.162618004452963 0.201468628617024 19.9764271804858 "schaker" "s1"
"348" 6.81673588059497 2.61747694720552 1 0.370889003994948 -0.241443454581697 29.9764271804858 "eieren" "s1"
"351" 6.86901445066571 -2.74694022104704 0 0.220705977777987 0.251512876974443 38.9764271804858 "bruutheid" "s1"
"353" 7.06731984865348 -0.955180751818985 0 0.132336827327897 0.147324350902863 46.9764271804858 "stroper" "s1"
"356" 7.03085747611612 3.02916291518879 0 0.153843032548857 0.0194244258672835 50.9764271804858 "risico" "s1"
"357" 6.89467003943348 -0.606874057550769 0 0.0023483967797171 -0.0512337249387365 51.9764271804858 "kandelaar" "s1"
"358" 7.36391350140582 -3.1524053291552 0 -0.133839039902923 -0.343689076143167 52.9764271804858 "rogge" "s1"
"361" 6.67708346124714 -1.17140386028862 0 0.0813703837358668 -0.142800918464227 57.9764271804858 "eelt" "s1"
"379" 6.91869521902047 -0.0500633205429555 0 0.229903071258907 -0.205384404765987 94.9764271804858 "koran" "s1"
"380" 7.3185395485679 -2.05379304048709 0 -0.109813860315933 0.129598628303754 95.9764271804858 "margriet" "s1"
"382" 6.90575327631146 2.67947714812831 0 0.106381772229478 -0.278851556647867 99.9764271804858 "gok" "s1"
"384" 7.06304816338817 -1.97375033281356 0 0.124542555601077 0.0585811410684736 105.976427180486 "lyceum" "s1"
"389" 6.89770494312864 -1.89964236065984 0 0.0498325002212674 0.056979859701503 125.976427180486 "barok" "s1"
"391" 7.11232744471091 2.8806808926436 0 0.132336827327897 -0.203303238562166 128.976427180486 "gein" "s1"
"398" 7.14361760270412 -3.1524053291552 0 0.107974129253847 0.212503223340733 151.976427180486 "spinnerij" "s1"
"399" 7.30182234213793 0.344102232311275 0 0.351123073273147 0.158969315099744 153.976427180486 "rantsoen" "s1"
"408" 6.78219205600679 -0.304593185677835 0 -0.107837575087723 0.0553760101195238 173.976427180486 "snot" "s1"
"409" 6.78332520060396 0.511156316974442 0 -0.246317023329613 0.348261216182934 174.976427180486 "heiligheid" "s1"
"412" 7.14519613499717 0.57929412214166 0 0.116687055660767 -0.0931724141590671 181.976427180486 "bacon" "s1"
"415" 6.71052310945243 -2.74694022104704 0 0.0878850647570575 0.0489347640166731 188.976427180486 "klavier" "s1"
"418" 7.3178761986265 -0.427825826101784 0 -0.269253808672713 -0.294671095592757 196.976427180486 "grom" "s1"
"424" 7.49164547360513 0.929360450860036 1 0.348624633497547 -0.172594581942997 205.976427180486 "barakken" "s1"
"436" 6.91473089271856 -0.875138044145449 1 -0.0364126519205126 -0.186808019193057 236.976427180486 "japonnen" "s1"
"442" 6.91373735065968 3.46933315669421 1 0.0250766478572775 -0.033534147839327 253.976427180486 "lijsten" "s1"
"443" 7.09257371597468 2.6390827259201 0 -0.0815330872009827 -0.278851556647867 258.976427180486 "vinger" "s1"
"444" 6.89770494312864 3.58633940709265 0 -0.00297076469788315 -0.228567740221647 260.976427180486 "take" "s1"
"445" 6.89770494312864 -1.17140386028862 1 -0.123758309374563 0.052160573265553 264.976427180486 "rubrieken" "s1"
"449" 6.87729607149743 0.602963866227565 1 -0.153276992059823 0.0244036892668937 269.976427180486 "schroeven" "s1"
"450" 6.81234509417748 3.03277395857618 1 -0.115766258843223 -0.082061188733987 271.976427180486 "rapporten" "s1"
"451" 6.75227037614174 1.8698291007844 0 -0.216163985158923 0.113069326352544 272.976427180486 "stress" "s1"
"457" 6.82437367004309 -1.70548634621888 0 0.460903004172317 0.410926726845974 -262.023572819514 "somberheid" "s1"
"464" 7.13329595489607 -1.97375033281356 0 0.0789163947742972 0.505316143374853 -249.023572819514 "gulzigheid" "s1"
"469" 7.02197642307216 -2.74694022104704 0 -0.170995016791013 0.262011661072663 -242.023572819514 "schraper" "s1"
"476" 7.07749805356923 -3.84555250971515 0 -0.164705687883453 0.343459286187524 -224.023572819514 "billijkheid" "s1"
"481" 6.99668148817654 -0.461162246369375 0 0.0919352930560873 0.388172616597464 -213.023572819514 "bezigheid" "s1"
"493" 6.85646198459459 0.74956734041944 0 0.164425141879397 0.232870526165163 -187.023572819514 "landschap" "s1"
"496" 6.92951677076365 3.67468204675948 0 -0.00297076469788315 0.052160573265553 -183.023572819514 "steak" "s1"
"498" 6.91968384984741 -2.34147511293888 0 0.298614212922887 0.160415446949743 -181.023572819514 "visserij" "s1"
"500" 7.25063551189868 2.9847816222984 1 -0.212869089262073 -0.0370490899467768 -179.023572819514 "zwaarden" "s1"
"501" 7.32778053842163 -3.1524053291552 0 0.222126432562277 0.156070762345733 -178.023572819514 "terpentijn" "s1"
"504" 7.06304816338817 0.637450042298734 0 -0.0748248684658632 0.0617760319649934 -170.023572819514 "adelaar" "s1"
"505" 7.01929665371504 1.96708436985313 1 0.349249828891467 -0.213752654436506 -168.023572819514 "helden" "s1"
"510" 7.09754885061479 -2.45925814859526 0 0.0756350136511275 0.458162306017663 -158.023572819514 "soepelheid" "s1"
"513" 7.18159194461187 -3.84555250971515 0 0.195515728949427 -0.317713589739907 -145.023572819514 "roede" "s1"
"514" 6.49526555593701 3.31373939508241 0 0.153082865275467 -0.601518185445267 -144.023572819514 "thee" "s1"
